1331254	云南	昆明
1331255	云南	昆明
1331256	云南	昆明
1331257	云南	昆明
1331258	云南	昆明
1331259	云南	昆明
1331260	云南	楚雄
1331261	云南	楚雄
1331262	云南	曲靖
1331263	云南	曲靖
1331264	云南	玉溪
1331265	云南	玉溪
1331266	云南	红河
1331267	云南	红河
1331268	云南	昭通
1331269	云南	丽江
1331270	云南	版纳
1331271	云南	临沧
1331272	云南	德宏
1331273	云南	迪庆
1331274	云南	大理
1331275	云南	怒江
1331276	云南	文山
1331277	云南	普洱
1331278	云南	大理
1331279	云南	保山
1331280	广东	广州
1331281	广东	广州
1331282	广东	广州
1331283	广东	广州
1331284	广东	广州
1331285	广东	广州
1331286	广东	广州
1331287	广东	广州
1331288	广东	广州
1331289	广东	广州
1331290	广东	深圳
1331291	广东	深圳
1331292	广东	深圳
1331293	广东	深圳
1331294	广东	深圳
1331295	广东	深圳
1331296	广东	深圳
